,0|,4,143,140|,6,1105,155|,10,912,151|,1097,1100,153|,1139,861,81,151|,1097,1137,711,700|,1061,1062,402,151|,311,318,703,700|,8,361,143,140|
,475,731,722,118|,603,67,70,175|,603,608,1043,1038|,1049,115,1037,1038|,1049,1019,671,173|,1049,271,266,1045,1038|,1049,1023,1020,671,173|,603,608,495,945,177|,603,67,72,722,118|,603,467,1011,671,173|
,257,258,859|,450,407,416|,499,502,859|,499,165,77,80|,450,407,402,80|,450,3,1139,861|,450,248,378,398|,257,260,1126,754|,257,805,810,859|,183,190,810,859|
,623,559,560|,668,741,742,506|,668,741,431,428,506|,397,379,485,486,560|,461,125,126,486,560|,857,417,427,428,506|,857,860,1138,6,506|,857,417,427,430,742,506|,857,417,203,200,184,560|,857,417,406,3,6,506|
,329,741,431,35|,329,1141,1144,448|,954,144,431,35|,956,272,498,448|,956,785,19,33|,958,249,451,448|,958,1143,1144,448|,958,1143,1146,838,33|,958,249,3,12,940|,958,249,407,427,35|
,1026,265,795|,1032,667,797|,1032,169,162,300|,339,47,265,795|,1030,620,437,438|,1034,171,162,300|,1034,171,168,667,797|,1034,171,325,375,376|,1034,663,652,437,438|,1034,767,75,64,438|
,85,86,522,55|,317,207,208,55|,317,207,210,746|,317,318,749,746|,919,1129,1126,746|,919,1129,261,937,57|,919,105,100,480,57|,919,371,883,633,55|,919,657,652,548,55|,919,657,660,1070,57|
,339,1135,711,700|,1026,97,98,140|,1028,344,703,700|,1032,169,77,151|,1034,171,77,151|,1034,815,812,0|,1034,1146,9,0|,1034,1146,361,5,0|,1034,1146,361,143,140|,1034,1140,328,707,700|
,18,189|,33,449,183|,839,840,200|,839,840,803,191|,839,557,550,200|,839,1147,1144,183|,129,136,679,187|,129,863,864,200|,129,863,864,803,191|,129,863,393,333,330|
,36,548,1111,601|,36,548,632,890,601|,36,437,65,66,595|,36,544,971,978,597|,36,546,550,605,595|,36,546,554,1111,601|,36,621,885,890,601|,36,621,1031,1026,50|,36,653,658,948,50|,38,1138,813,905,597|
,1091,1094|,262,482,879,876|,321,312,1089,1094|,321,316,192,984|,799,800,487,490|,799,837,287,288,876|,321,63,60,288,876|,321,310,1139,39,911|,321,318,226,900,1094|,321,318,703,708,1094|
,839,9,1139|,839,361,5,1139|,14,313,310,1139|,16,751,754,860|,33,941,13,1139|,33,941,942,859,860|,33,34,426,416,860|,33,34,428,7,1139|,33,449,450,3,1139|,16,713,718,859,860|
,374,324,973,589|,374,326,423,420|,374,326,684,589|,374,387,388,583|,376,794,264,48|,1007,419,414,587|,1007,573,564,581|,1007,573,568,583|,1007,687,423,420|,1007,687,684,589|
,243,244,722,1121|,243,511,520,1123|,674,266,762,916|,674,266,1045,1046,1123|,674,264,52,646,1123|,674,264,1053,541,542|,243,244,732,123,1121|,243,240,214,1103,1123|,187,182,729,722,1121|,187,331,727,722,1121|
,346,103,104,219|,1029,1032,944,217|,1029,1026,97,104,219|,1029,1034,663,656,219|,1029,1034,1142,380,217|,346,233,234,656,219|,346,640,316,919,219|,344,226,947,944,217|,344,319,316,919,219|,344,703,700,154,221|
,31,649,656,219|,31,26,1057,1058,219|,31,247,248,380,217|,923,401,379,380,217|,1024,313,316,919,219|,1067,1060,0,154,221|,1067,1060,6,1105,221|,1067,1060,2,248,380,217|,1067,1060,10,385,380,217|,1067,1060,311,316,919,219|
,227|,900,709,702|,947,809,810,229|,947,1033,1028,344|,900,1088,313,318|,900,1090,321,318|,896,79,403,404|,896,398,417,404|,896,398,755,748|,896,398,858,229|
,1073,661,656|,1114,663,656|,1073,721,714,370|,1073,1068,138,1128|,1073,1068,130,101,104|,1073,1068,132,714,370|,1073,1068,136,659,656|,1073,1068,817,818,919|,1073,721,133,138,1128|,1073,721,907,908,1128|
,967,363,5,12|,967,363,360,9,12|,967,962,497,502,943|,967,987,193,819,820|,297,223,915,11,12|,297,292,247,3,12|,297,298,193,819,820|,297,607,929,934,820|,297,725,728,448,941|,533,528,359,5,12|
,483,101,96,44|,483,263,321,314|,1080,84,317,314|,1149,1035,1026,44|,1149,1035,1026,1053,181|,1149,1035,339,47,44|,1149,1035,339,1055,181|,1149,663,658,948,44|,1149,767,75,62,314|,1149,815,812,311,314|
,483,131,132|,483,131,1069,721|,483,480,1071,721|,395,392,862,132|,1149,663,660,721|,1149,1035,339,713|,1149,1115,1073,721|,1149,1115,1073,1068,132|,1149,1035,1026,46,713|,1149,663,660,1068,132|
,709,706,329,513|,709,710,1136,521|,1094,491,488,517|,1094,491,488,822,515|,1094,877,289,282,515|,1094,877,873,870,578|,709,710,1134,334,515|,709,277,205,241,511|,709,277,205,353,354|,709,277,274,421,515|
,330,182,257|,330,190,804|,497,498,257|,497,502,259|,727,728,257|,727,730,480,936|,727,991,992,804|,497,502,811,804|,330,190,810,259|,330,190,939,936|
,561,558,885|,561,855,1113,891|,507,477,731,887|,507,7,1097,521,518|,507,743,740,513,518|,561,855,1113,1110,632|,561,558,620,548,632|,561,185,182,729,887|,561,185,331,727,887|,561,487,488,517,518|
,285,61,72|,571,999,995,990|,571,999,1000,733|,826,532,297,725|,826,532,967,962,727|,826,528,231,234,654|,826,534,852,293,725|,826,534,852,649,654|,826,534,1113,891,886|,571,999,1000,123,723|
,877,289,286|,877,873,737,835|,877,1109,291,286|,491,486,801,837|,985,299,607,833|,1095,1090,799,837|,1095,709,277,274,586|,1095,709,702,405,414|,1095,709,704,285,286|,1095,901,227,405,414|
,733,73,64|,733,245,435|,733,245,240,433|,733,655,652,437|,123,723,73,64|,123,723,245,435|,1001,998,111,108|,1001,373,366,71,64|,1001,373,370,920,435|,1001,739,734,75,64|
,933,926,412|,933,926,1063,305,302|,933,643,103,100,478|,933,643,638,202,412|,933,928,602,475,478|,933,928,604,202,412|,933,928,833,415,412|,933,930,53,265,268|,933,934,816,130,478|,788,237,1005,419,412|
,988,427,428,506|,990,730,476,506|,992,191,184,560|,992,806,800,560|,992,802,200,184,560|,992,939,481,476,506|,990,726,330,184,560|,990,728,183,184,560|,990,887,884,559,560|,988,427,430,742,506|
,462,1006|,462,687,327,375|,125,951,952,1006|,460,397,897,900,1092|,460,857,417,418,1006|,458,86,167,325,375|,458,1081,395,386,375|,125,126,490,1095,1092|,125,637,233,1005,1006|,125,637,683,327,375|
,797,794,270|,797,439,109,114|,664,242,674,270|,664,435,109,114|,664,435,436,546,1051|,664,435,438,794,270|,664,242,676,1011,1018|,664,240,208,555,1051|,664,240,212,892,114|,664,240,433,109,114|
,92,772,492|,971,982,291|,971,982,1108,289|,971,589,421,283|,971,589,586,287|,971,685,423,283|,92,585,421,283|,92,585,586,287|,92,776,1116,289|,88,274,421,283|
,601,596|,601,51,97,903|,1112,535,532,593,596|,1112,693,690,99,903|,1112,852,247,248,382|,1112,854,487,484,382|,1110,523,167,973,978|,1110,549,544,971,978|,1110,630,915,385,382|,891,343,495,381,382|
,86,167,164,619|,86,167,251,252|,86,167,973,970,90|,86,167,973,974,619|,86,522,549,544,90|,86,524,411,408,252|,86,526,810,503,619|,84,194,1022,115,617|,84,317,318,107,617|,84,919,775,93,90|
,206,641,636|,210,752,444,950|,212,894,658,950|,241,242,678,950|,241,244,655,658,950|,241,511,516,489,127|,241,921,105,102,636|,241,921,657,658,950|,212,894,235,232,636|,210,748,319,641,636|
,634,285,286,830|,634,826,528,441|,1013,1014,835,830|,1013,1016,161,441|,1013,1016,585,586,830|,1013,1016,776,757,752|,1013,1014,738,996,443|,1013,671,623,1031,447|,1013,671,668,159,441|,1013,671,857,755,752|
,1042,340,735|,1042,609,833,834|,1036,110,999,739|,1036,114,1019,1014|,1038,172,670,1014|,1038,119,120,997,739|,1038,119,122,1001,739|,1038,174,71,74,735|,1038,174,367,372,739|,1036,114,1023,1020,1014|
,634,285,493|,1013,1016,772|,1013,1016,774,219,216|,1013,671,173,176,944|,1013,671,397,379,380|,1013,1010,466,608,495|,1013,1010,961,958,380|,1013,1014,734,341,495|,1013,1014,835,287,493|,634,571,574,291,493|
,63,74,766,1140|,63,577,578,512|,207,204,957,329|,207,241,511,512|,207,353,354,512|,310,4,358,158|,310,6,743,740|,310,8,1147,1140|,310,813,814,1140|,310,1097,521,512|
,734,341,781,525|,734,764,807,527|,734,766,171,166|,736,874,171,166|,738,995,992,527|,835,415,410,525|,835,836,807,527|,835,415,203,803,527|,835,415,402,76,166|,835,415,408,250,166|
,610,186,243,511|,612,71,577,578|,612,367,883,519|,614,780,342,519|,1009,687,423,515|,1009,687,423,823,517|,1009,687,684,980,521|,1009,463,460,668,513|,1009,573,566,334,515|,1009,573,568,740,513|
,24,731,728|,24,480,936,256|,24,482,1149,1144|,20,617,618,498|,22,350,255,256|,1083,309,306,498|,1083,1084,259,256|,1083,1084,503,498|,1083,1084,811,191,182|,1083,1084,811,804,256|
,633,523,526|,886,991,992|,886,726,330,190|,886,728,183,190|,886,728,257,805|,886,730,480,938|,633,55,56,938|,633,555,550,803|,343,340,764,807|,343,495,945,809|
,351,23|,255,258,1085,1082|,255,937,481,25|,323,387,394,483,25|,323,553,1051,115,21|,255,258,229,107,21|,255,256,729,730,25|,255,260,139,130,25|,255,805,810,1085,1082|,255,805,939,481,25|
,85,86,167,164|,192,851,844,272|,192,986,962,497|,194,83,76,164|,317,207,204,272|,317,318,228,503|,317,641,977,974|,819,820,942,503|,819,820,940,449,499|,819,816,132,718,503|
,60,288|,60,290,1108|,577,871,872|,66,833,287,288|,72,730,482,879|,74,735,736,872|,74,766,875,872|,74,766,1148,879|,74,735,738,1002,1116|,74,735,835,287,288|
,531,536|,344,703,710|,1029,339,1135|,1029,1026,46,1135|,344,703,277,278|,344,749,746,58|,344,749,750,1135|,531,827,705,710|,346,977,980,1137|,348,866,57,58|
,244,887|,511,518|,240,208,632|,240,212,889|,921,371,883|,921,657,654,887|,921,657,895,889|,240,208,1111,891|,240,353,354,518|,244,655,895,889|
,213,204,274|,889,519,514,420|,892,110,564,581|,892,110,568,583|,892,112,53,48|,894,650,364,581|,894,656,775,585|,894,658,948,48|,894,658,445,831,587|,894,656,105,96,48|
,1076,823,489|,1076,515,516,489|,599,596,383,485|,1078,578,516,489|,1078,578,514,823,489|,1078,871,872,876,491|,1078,871,874,1142,485|,599,51,949,950,126|,599,600,1112,854,487|,1076,283,288,876,491|
,473,695,175,119|,816,130,731,722|,816,130,731,732,123|,816,117,1101,1123,1120|,816,128,16,336,121|,816,132,712,336,121|,816,136,445,442,121|,816,136,659,654,722|,816,136,699,175,119|,816,759,762,916,1120|
,475,482,879|,603,67,60,288|,603,833,287,288|,603,833,287,290,1108|,603,833,834,736,872|,603,67,60,290,1108|,603,67,577,871,872|,603,606,298,984,877|,603,608,495,492,288|,475,482,1149,875,872|
,50,600,891,880|,1027,1030,885,880|,50,600,1110,632,880|,50,594,608,342,880|,46,334,515,518,880|,46,338,1030,885,880|,46,713,714,883,880|,48,421,515,518,880|,52,69,72,887,880|,52,113,893,889,880|
,507,7,311,318|,507,429,426,404|,507,7,0,701,702|,507,7,2,407,404|,507,7,12,942,229|,507,7,1061,1062,404|,507,477,25,20,106|,507,477,263,321,318|,507,477,478,413,404|,507,743,431,426,404|
